u10,v10,d2m,t2m,msl,sp,istl1,istl2,istl3,skt,u100,v100,u10n,v10n,i10fg,flsr,ishf,alnid,alnip,aluvd,aluvp,cbh,hcc,lcc,mcc,tcc,tciw,tclw,viiwd,vilwd,viiwe,vilwe,viiwn,vilwn,crr,ilspf,lsrr,ptype,tcrw,vigd,viked,vimad,vimdf,viozd,vithed,vited,vige,vithee,vikee,vimae,vioze,vitee,viwve,viec,vike,vima,vimat,vign,vithen,viken,viman,viozn,viten,viwvn,vipie,vipile,vit,vithe,vitoe,blh,chnk,cape,dctb,fal,fsr,zust,iews,ie,inss,kx,dndza,dndzn,src,tco3,tcslw,tcw,tcwv,totalx,tplb,tplt,deg0l,tp,cdir,uvb,slhf,ssr,ssrc,str,strc,sshf,ssrdc,ssrd,strdc,strd,tisr,tsr,tsrc,ttr,ttrc,fdir,cp,lsp,lspf,vimd,bld,lgws,ewss,gwd,mgws,nsss
0.90812767,-1.4368429,285.9121,291.60278,101126.875,100093.81,271.45996,271.45996,271.45996,292.73584,0.97509974,-2.6469784,0.9837386,-1.6056347,4.398823,-5.442545,-35.94908,0.19468176,0.17586952,0.06735563,0.0633896,9835.383,0.9992448,0.0,0.0,0.9992448,0.0035772868,0.0,-2.7245078e-06,1.5400525e-07,0.19345033,-0.00018501282,-0.0772962,0.0005950928,0.0,0.0,0.0,0.0,0.0,-2242.2683,-10.392243,-0.0027184968,0.000103215934,9.213668e-09,1183.3005,-726.25195,18712627000.0,42812150000.0,198763260.0,182454.88,0.059047952,61858623000.0,53.969086,2294.2932,4247141.0,10197.609,0.00075161876,-7035403300.0,-23301430000.0,-77790900.0,-93828.44,-0.0039688684,-30613367000.0,-79.39497,2630575600.0,2670829300.0,2604884.0,2621025000.0,2675066600.0,73.253006,0.017999023,1.9738255,-9.536743e-07,0.13611346,0.49602205,0.13721013,0.052101083,-2.4625624e-05,-0.06973368,13.5742855,0.34951317,0.49571645,7.841882e-06,0.0064098947,0.0,16.118134,16.111893,40.639072,28.441055,100.50363,3416.5457,0.0,407077.06,60129.02,-126572.75,521965.7,541337.5,-299418.75,-277978.88,-49317.254,637565.6,607428.6,1100828.0,1118702.0,1183892.0,860224.3,892489.7,-937292.2,-977583.2,336739.62,0.0,0.0,0.0,0.2297818,7657.168,267.5652,261.4309,1500.1174,-221.33725,-244.62988
0.63945216,-1.133399,286.7788,293.1997,101152.875,100118.31,271.4602,271.45972,271.45972,297.58545,1.0057535,-1.6606388,0.7507185,-1.3642635,4.0060205,-5.444957,-62.514572,0.1946404,0.17583722,0.06737554,0.06340307,9645.215,1.0,0.0,0.0,1.0,0.005439263,0.0,-1.8371211e-06,-3.604885e-07,0.30159694,-0.00032043457,-0.089327455,0.0007171631,0.0,0.0,0.0,0.0,0.0,-2282.485,-1.5409641,-0.0017356428,9.270462e-05,1.2817065e-08,1630.4824,-582.97705,18406710000.0,40945345000.0,187403310.0,175464.31,0.057780456,59663150000.0,49.3929,2325.7493,4041835.0,10200.07,0.0002680507,-6245244000.0,-21330370000.0,-65001316.0,-85611.625,0.00060569844,-27817472000.0,-70.30653,2632246500.0,2672581600.0,2606548.0,2622697500.0,2676645400.0,131.88731,0.01799947,0.7484948,4.9897385,0.13611346,0.49583697,0.09545636,0.03592537,-4.5649314e-05,-0.061461616,13.174277,0.40959483,0.54830706,2.7772676e-06,0.006366547,0.0,16.1566,16.146835,39.107445,83.80328,143.84,3417.4453,0.0,968768.25,127130.5,-304265.0,1078021.0,1116650.0,-372297.2,-343447.25,-166988.31,1298214.0,1249383.0,1120532.0,1147284.0,2037705.0,1589901.0,1635942.0,-932601.94,-1002953.4,843362.8,0.0,0.0,0.0,0.023447812,7816.84,235.25146,198.52194,1023.4636,-181.80832,-206.76096
0.3710019,-1.1483479,285.37817,299.4463,101145.44,100112.875,271.45996,271.45996,271.4602,300.8911,0.60192734,-1.4944792,0.45032805,-1.417654,3.8040752,-5.446004,-71.66449,0.1946069,0.17581576,0.06739855,0.06342256,9895.84,1.0,0.0,0.0,1.0,0.015621636,0.0,-4.234693e-06,1.1201873e-06,0.81702244,-0.0008087158,-0.13082361,0.001083374,0.0,0.0,0.0,0.0,0.0,-1706.0598,112.26152,-0.001580647,7.296962e-05,1.2859843e-08,1250.0867,-120.94029,17914874000.0,38951485000.0,168417340.0,167689.31,0.05671198,57150560000.0,47.219482,1700.7954,3737008.0,10199.559,0.00027240417,-5289333000.0,-18778340000.0,-49514144.0,-75043.125,0.0038769643,-24274640000.0,-62.43242,2633100300.0,2673467400.0,2607385.0,2623534300.0,2677206300.0,250.01967,0.01800057,1.197382,73.88791,0.13611346,0.49575943,0.07484329,0.021962915,-6.197185e-05,-0.060418665,12.550174,0.2852738,0.35554534,5.4843366e-07,0.0063225217,0.0,16.185944,16.160934,37.401176,155.39693,223.49153,3488.8767,0.0,1499791.0,186349.81,-501950.0,1527977.0,1630918.0,-427064.2,-406912.94,-251434.19,1889576.0,1769187.0,1151453.0,1187050.0,2740478.0,2158091.0,2268316.0,-888521.75,-1029626.44,1179518.0,0.0,0.0,0.0,-0.02609041,8132.0977,165.13939,110.968765,898.89624,-130.19846,-176.77303
-0.0050364695,-1.0148277,285.46143,299.7766,101167.69,100137.94,271.4602,271.45996,271.45996,303.20093,0.15033406,-1.3018723,-0.003344936,-1.2866364,3.7177162,-5.446123,-68.42694,0.19457775,0.17577428,0.067415476,0.06343883,9599.949,1.0,0.0,0.0,1.0,0.03502447,0.0,8.316432e-07,-8.966765e-08,1.6546736,0.000289917,-0.055381153,9.1552734e-05,0.0,0.0,0.0,0.0,0.0,-1974.1665,92.4877,0.003033394,0.000106203544,1.0436974e-08,2605.9966,1049.0801,17233433000.0,36578050000.0,143997200.0,158216.56,0.05486406,54062460000.0,42.690277,2008.0178,3347622.0,10202.066,-0.00028203847,-4059301000.0,-15085031000.0,-34332972.0,-60055.23,0.008262377,-19302320000.0,-50.540146,2635437600.0,2675891000.0,2609696.0,2625877200.0,2679259000.0,406.1858,0.018000886,0.72354937,231.16211,0.13611346,0.49574548,0.06796509,-0.0017763767,-7.100092e-05,-0.051115297,11.958799,0.20959693,0.2352022,7.155904e-08,0.0062830932,0.0,16.258636,16.199646,36.42371,288.58203,376.65503,3490.5518,0.0,1899716.0,220498.12,-654035.56,1751887.0,2011248.0,-436857.0,-447078.94,-280135.75,2326877.0,2029867.0,1181930.0,1242961.0,3244441.0,2477860.0,2727634.0,-765701.9,-1048198.3,1170926.0,0.0,0.0,0.0,-0.036104452,8864.594,69.56377,46.57199,423.24976,-57.20842,-144.74924
-0.017556865,-0.94107807,285.51587,300.12964,101120.875,100092.81,271.45996,271.45996,271.45996,303.6809,0.110530615,-1.2123938,-0.020949237,-1.1904001,3.7278376,-5.4460173,-68.63585,0.19453502,0.17574984,0.067441344,0.06345838,9140.824,1.0,0.0,0.0,1.0,0.05211078,0.0,-1.0843264e-05,-7.345165e-07,2.2404118,-0.0007171633,0.031940486,-0.00010681154,0.0,0.0,0.0,0.0,0.0,-1423.2222,59.998917,-0.00066440715,3.347425e-05,1.7373547e-09,996.67554,-332.83154,16973322000.0,35295410000.0,135966460.0,153221.0,0.055605926,52514427000.0,44.03383,1479.1716,3171442.0,10197.656,-0.0013823377,-3365915000.0,-12390739000.0,-28947372.0,-49583.402,0.010507997,-15883451000.0,-39.816635,2635517700.0,2676154600.0,2609775.0,2625949200.0,2679353000.0,537.59546,0.017999228,0.1999554,366.31055,0.13611346,0.4957434,0.07041949,0.000678587,-7.8184006e-05,-0.04524455,11.742888,0.027743597,0.028402805,5.9785847e-09,0.0062578246,0.0,16.36792,16.274933,36.503944,404.1809,460.38477,3636.6091,0.0,2119110.0,238779.38,-760124.3,1865674.0,2218034.0,-439665.75,-466819.0,-285782.12,2564357.0,2158234.0,1203960.0,1280666.0,3515086.0,2658354.0,2976007.0,-680700.25,-1057043.0,1160302.0,0.0,0.0,0.0,-0.12631273,9956.234,30.948685,20.37059,250.18001,-26.96701,-120.75432
0.0902828,-0.87026733,283.64502,302.8081,101066.5,100040.44,271.45996,271.45996,271.45972,303.86768,0.2352317,-1.1284323,0.11872363,-1.1015158,3.3144665,-5.446068,-48.53981,0.19449365,0.17571753,0.06746435,0.063471794,8696.176,1.0,0.0,0.0,1.0,0.0679577,0.0,-1.1214333e-06,1.3286253e-06,2.7764053,-0.001349729,0.07747465,0.000869751,0.0,0.0,0.0,0.0,0.0,-1812.188,-8.945497,0.0022618396,8.206768e-05,5.5448552e-09,2142.7112,498.13013,17299765000.0,35609290000.0,144664460.0,154837.12,0.057495523,53177643000.0,48.90547,1834.825,3228256.0,10192.301,-0.0012933239,-3026741500.0,-10584418000.0,-27984868.0,-42753.336,0.010280069,-13720548000.0,-32.258286,2635355400.0,2676162600.0,2609596.0,2625805000.0,2679367700.0,642.3108,0.018000498,0.075228035,32.435608,0.13611346,0.495744,0.061114077,0.0017217272,-7.213575e-05,-0.037370335,11.412995,-0.8950102,-0.89500403,0.0,0.0062400997,0.0,16.463837,16.334534,36.79356,39.700943,45.20514,3638.284,0.0,2135302.0,216493.88,-751035.0,1721432.0,2231948.0,-429569.94,-474716.62,-215934.12,2580114.0,1997728.0,1221349.0,1302458.0,3533878.0,2523464.0,2994185.0,-664078.4,-1059210.0,867104.5,0.0,0.0,0.0,-0.09538609,7123.6797,1.0693598,44.67546,37.687363,-0.56293744,-69.15654
-0.22139043,-0.51917523,283.56934,302.95386,101026.69,100001.56,271.45996,271.45996,271.45972,303.47192,-0.14527279,-0.69144243,-0.24667937,-0.72762305,2.7728014,-5.4455853,-31.646591,0.19445401,0.17570043,0.06748426,0.06349152,8253.535,1.0,0.0,0.0,1.0,0.047139507,0.0,-7.3702613e-06,5.601288e-07,2.003007,0.00044250488,0.010685053,0.00062561035,0.0,0.0,0.0,0.0,0.0,-1543.8608,37.098465,-0.00019969547,4.716366e-05,2.7580656e-09,1014.3159,-347.22803,18016774000.0,36376277000.0,167402430.0,158781.44,0.058274347,54678233000.0,48.187424,1536.0039,3463387.0,10188.332,-0.00075621926,-2494440700.0,-8435018000.0,-22340276.0,-34301.418,0.009217326,-11008987000.0,-23.20169,2636190500.0,2677121500.0,2610415.0,2626660400.0,2680603000.0,680.4783,0.01799905,0.0,37.43965,0.13611346,0.49575227,0.047408935,-0.013319705,-6.372231e-05,-0.013676032,10.639997,-0.89708996,-0.8956742,0.0,0.0062282532,0.0,16.475586,16.386902,37.117027,40.536606,51.270935,3675.1782,0.0,1944978.0,201785.75,-690555.6,1519414.0,2051685.0,-412442.0,-462966.3,-145946.06,2372690.0,1764232.0,1229116.0,1315694.0,3299461.0,2284565.0,2780222.0,-664852.3,-1054003.0,688203.7,0.0,0.0,0.0,0.2032702,5226.3633,-0.15156132,21.624756,3.9818563,-0.104079425,-16.194168
-0.09645516,0.2940436,283.89453,302.72705,101011.56,99986.56,271.45972,271.4602,271.45972,302.08472,0.006382145,0.28920728,-0.13896936,0.35903525,2.2818909,-5.4457436,1.26509,0.19442183,0.17567122,0.06750727,0.063508034,7848.668,1.0,0.0,0.0,1.0,0.077534854,0.0,-1.1389407e-05,-4.6163984e-07,3.4389505,0.0012359619,0.034758817,0.0010681152,0.0,0.0,0.0,0.0,0.0,423.0415,95.2336,-0.0031455995,-3.4177545e-05,-4.372687e-09,-1321.4072,-874.2927,17864080000.0,35971660000.0,159669120.0,156902.19,0.058773555,54133500000.0,54.795258,-421.875,3342369.0,10186.934,0.0007651723,-1692118700.0,-5589438500.0,-10488527.0,-22928.547,0.007930391,-7313777700.0,-9.170162,2636377000.0,2677804300.0,2610546.0,2626820600.0,2681142000.0,630.93604,0.01800007,0.6758047,532.1575,0.13611346,0.4957496,0.03826831,-0.0029273557,-4.125596e-05,0.0143227205,13.82848,0.023252469,0.024482626,0.0,0.006228205,0.0,16.742584,16.59024,37.493145,567.3093,640.91406,3638.1836,0.0,1557381.0,158910.5,-546256.5,1190943.0,1685732.0,-364822.8,-435358.3,-88748.875,1951122.0,1380696.0,1238859.0,1341983.0,2827782.0,1862073.0,2351934.0,-632610.06,-1038295.7,426692.25,0.0,0.0,0.0,-0.012386773,4908.7617,-0.8710938,-40.487793,3.441287,0.35685807,-15.340014
-0.11342907,0.82788765,286.08398,300.49365,101081.19,100055.44,271.4602,271.45972,271.45972,299.82495,-0.015049275,1.4093304,-0.0985654,0.7519295,2.0665789,-5.4460516,5.8864956,0.19437742,0.17563891,0.067527235,0.063530624,7657.172,1.0,0.0,0.0,1.0,0.08270985,0.0,-7.90036e-06,-9.2475534e-07,3.8103218,-0.00038146973,0.14638096,0.00035095215,0.0,0.0,0.0,0.0,0.0,-435.6565,85.93164,-0.00067739864,6.37917e-05,1.5335026e-08,165.39362,-206.21056,17546170000.0,35281326000.0,153880750.0,153670.0,0.05748775,53137412000.0,62.911194,405.3457,3234284.0,10193.797,0.0009765439,-1230499200.0,-3348653000.0,-4456378.0,-14301.16,0.00577135,-4574082600.0,3.8760138,2638823400.0,2680529700.0,2612947.0,2629286400.0,2683775500.0,232.37254,0.018000267,5.6560345,166.96269,0.13611346,0.49574268,0.06677258,-0.0016516226,-1.4387099e-05,0.0131477155,14.70901,0.1781925,0.24192578,0.0,0.00621216,0.0,16.882431,16.697266,37.777916,167.43791,211.76822,3637.4395,0.0,1043780.9,108307.94,-311501.12,684172.8,1190076.0,-306969.06,-414246.8,9719.074,1381292.0,795412.4,1237342.0,1358433.0,2150945.0,1178995.0,1740887.0,-554106.94,-1030136.1,81578.25,0.0,0.0,0.0,-0.035358652,4818.6094,-6.026146,-2.9158554,50.287094,27.728806,58.455246
-0.18047053,1.5162153,288.18384,299.41064,101081.44,100055.69,271.45996,271.45947,271.45996,296.87207,0.022437755,1.7683706,-0.05264129,0.43419254,2.0284815,-5.4462414,2.4626064,0.19435,0.17561442,0.06755024,0.063550174,7568.051,1.0,0.0,0.0,1.0,0.11616421,0.0,-1.0741719e-05,-5.6009617e-07,5.1198244,-0.0013275146,0.59221804,0.0013427734,0.0,0.0,0.0,0.0,0.0,-860.78735,135.8659,-0.0004888852,6.520067e-05,2.7781746e-09,246.98444,-303.59302,16913366000.0,33836466000.0,138783090.0,147397.06,0.054547437,51049110000.0,65.13364,818.4116,3016277.0,10193.758,0.00060510193,-429466850.0,-751319600.0,3154562.0,-3788.8123,0.0045022927,-1154913900.0,9.910309,2639365000.0,2680798500.0,2613540.0,2629820700.0,2683822800.0,52.44693,0.017999958,5.6061544,-9.536743e-07,0.13611346,0.49574107,0.032134265,-0.00014623106,-3.0600386e-06,0.00878391,14.745566,0.2630753,0.40201247,0.0,0.00617975,0.0,16.853836,16.590149,38.187496,-9.536743e-07,47.612534,3640.6335,0.0,480746.56,44296.438,-101752.75,338513.12,620998.6,-275632.06,-386425.06,20386.133,727838.6,394535.56,1227960.0,1344432.0,1314952.0,636205.06,1006421.4,-547488.94,-1018228.44,28987.531,0.0,0.0,0.0,0.1215564,4914.301,-10.335617,-3.027707,216.87177,103.56242,43.1183
