d,cc,z,tall,o3,pv,r,ciwc,q,cswc,t,u,v,w,vo
-7.376627571428571e-06,0.2283740714285714,129934.94857142855,13249.67737,2.926232557142857e-07,3.4451716e-06,47.45885342857143,1.1649434e-06,5.517637062857143e-05,7.15359e-08,216.48895285714283,47.913044285714285,-17.153702514285715,0.0171759787142857,-5.343727721428571e-05
-4.169234857142855e-06,0.3154085271428571,130006.84857142856,13257.00913,2.896908971428571e-07,3.188924142857143e-06,51.986354142857145,3.0793216785714287e-06,5.539020314285715e-05,2.214155714285714e-07,216.1445642857143,47.34066342857143,-14.591276328571428,-0.021619832,-6.189188871428572e-05
2.155656857142857e-05,0.3645120285714285,130042.91142857145,13260.686518571429,2.844101828571429e-07,3.0845032993857143e-06,54.801284571428575,7.963775e-06,5.308940718571429e-05,8.720249428571428e-07,215.74214428571423,45.96250714285714,-12.069895397142858,-0.1116339888571428,-7.472065666714285e-05
2.359543394285714e-05,0.4236609702857143,130110.31142857144,13267.559404285714,2.741806142857143e-07,3.22764295e-06,54.83463585714286,1.2343260342857144e-05,4.912856394285715e-05,1.5803253042857144e-06,215.51256285714288,44.180868857142855,-9.960778745714284,-0.0261181668571428,-3.30663279e-05
1.5154026e-05,0.4218750515714285,130138.93,13270.477685714286,2.7255633057142857e-07,3.3694891714285714e-06,53.813770857142856,7.765311142857141e-06,4.982058164285714e-05,7.713920534285714e-07,215.55170285714289,44.36278271428571,-10.159829295714284,0.0317586021428571,-1.043126835714286e-05
4.490415685714286e-06,0.4020077658571429,130171.91928571428,13273.841655714286,2.7275137357142855e-07,3.206792182857143e-06,54.78663228571429,6.716461942857143e-06,5.332296611428572e-05,6.334796714285714e-07,215.57632571428573,46.06619285714286,-10.2853033,0.0351232472857142,-1.1762531857142856e-05
5.648198571428568e-07,0.4321481938571428,130269.86642857142,13283.829485714286,2.652933257142857e-07,2.760759675e-06,59.76751957142857,6.921695508571429e-06,6.136183308571429e-05,6.830284e-07,215.6486142857143,48.85877285714286,-8.391396128571428,0.0003854951428571,-5.061326857142857e-05
7.061058685714286e-06,0.5176396771428572,130316.64214285716,13288.599284285714,2.653026871428572e-07,2.633778648857143e-06,64.55220614285714,1.878138817142857e-05,6.802928885714286e-05,4.460401814285714e-06,215.76695285714283,48.53132828571428,-4.790981299999999,-0.0930707997142857,-5.02449255e-05
1.7462688742857143e-05,0.5415215142857143,130425.5,13299.699694285711,2.517717594285714e-07,2.5554850717142856e-06,64.46439,2.2010131642857145e-05,7.198926498571428e-05,5.337325903857143e-06,215.89903,48.06874757142857,-3.312976044285714,-0.0945969692857142,-4.975714285714286e-05
2.2385319000000003e-05,0.5312519928571429,130463.40142857144,13303.564564285714,2.4036976e-07,2.535905079e-06,64.29043514285715,2.339909085714286e-05,7.268810044285715e-05,5.049335821428572e-06,215.9403457142857,46.54757685714286,-1.351410214285714,-0.0937832942857142,-4.872285714285714e-05
