feature,group,coefficient,abs_coefficient
tclw,ground,0.18464294111196658,0.18464294111196658
viwve,ground,0.13936270636716097,0.13936270636716097
flsr,ground,0.11396386550151999,0.11396386550151999
fsr,ground,0.0568802417774731,0.0568802417774731
lspf,ground,0.04214238983556159,0.04214238983556159
totalx,ground,-0.01125131212465405,0.01125131212465405
t,layer_0-8km,-0.0,0.0
u,layer_0-8km,-0.0,0.0
v,layer_0-8km,0.0,0.0
w,layer_0-8km,0.0,0.0
vo,layer_0-8km,-0.0,0.0
pressure_level,layer_8-17km,0.0,0.0
d,layer_8-17km,-0.0,0.0
cc,layer_8-17km,0.0,0.0
z,layer_8-17km,-0.0,0.0
tall,layer_8-17km,-0.0,0.0
o3,layer_8-17km,-0.0,0.0
crwc,layer_0-8km,0.0,0.0
pv,layer_8-17km,-0.0,0.0
r,layer_8-17km,0.0,0.0
ciwc,layer_8-17km,0.0,0.0
clwc,layer_8-17km,0.0,0.0
q,layer_8-17km,-0.0,0.0
crwc,layer_8-17km,0.0,0.0
cswc,layer_8-17km,0.0,0.0
t,layer_8-17km,-0.0,0.0
u,layer_8-17km,-0.0,0.0
v,layer_8-17km,0.0,0.0
w,layer_8-17km,0.0,0.0
cswc,layer_0-8km,0.0,0.0
u10,ground,0.0,0.0
q,layer_0-8km,-0.0,0.0
pressure_level,layer_17-28km,0.0,0.0
tsrc,ground,-0.0,0.0
ttr,ground,0.0,0.0
