Feature,MIC
aluvp,0.7723209808267115
aluvd,0.7723209808267115
alnip,0.7723209808267112
alnid,0.7723209808267112
fal,0.7240411101078031
q_28-37km,0.6868743807242043
z_28-37km,0.6385522355875389
tall_28-37km,0.6385522355875389
pv_28-37km,0.6011439503939999
tcw,0.5995269532316106
tcwv,0.5882280974895153
o3_28-37km,0.5868332948426951
v_8-17km,0.5789202455176219
vitoe,0.5719199284127517
vit,0.5683142573469524
vipie,0.5683097853351745
vithe,0.5683097853351745
tall_17-28km,0.5675082092130922
z_17-28km,0.5675082092130922
vipile,0.5635639614718588
deg0l,0.5622384838422226
tall_8-17km,0.5452888827709709
z_8-17km,0.5452888827709709
src,0.5399728614200767
tco3,0.5299293608681187
flsr,0.5293213910816569
fsr,0.5293213910816569
vioze,0.5199435375318564
tall_0-8km,0.5184329737256195
z_0-8km,0.5184329737256195
viken,0.5142812063774689
strdc,0.5052983555601733
d2m,0.5032892952690575
o3_8-17km,0.5021442150767199
u_8-17km,0.49545374850756496
