Feature,MIC
aluvp,1.0
aluvd,0.9991302549521662
alnip,0.997532184807539
alnid,0.997410755845294
fal,0.9479209205733276
q_28-37km,0.6941620675551277
tcwv,0.6478816524380295
tcw,0.6135000278365096
z_8-17km,0.5976096412065302
tall_8-17km,0.5976096412065302
vitoe,0.577005374876629
vipile,0.5747880894347673
vioze,0.5712361908635272
strdc,0.5528239570424816
u_28-37km,0.5251033199105964
deg0l,0.5241903597597839
tall_0-8km,0.519476336402478
z_0-8km,0.519476336402478
d2m,0.5180863648960494
viken,0.5163533235313342
tall_28-37km,0.5143518550693512
z_28-37km,0.5143518550693512
o3_28-37km,0.5109426880610497
q_17-28km,0.49005375298479087
q_0-8km,0.4873152639192302
tco3,0.4791016492096873
vithe,0.47906019452359
t_0-8km,0.47751242984854964
vipie,0.4770846069280889
vit,0.45653357188295496
z_17-28km,0.4552210445876667
tall_17-28km,0.4552210445876667
q_37-50km,0.4524045883886233
t2m,0.45172664522912453
v_8-17km,0.44771823067434763
