rank,feature,importance
1,viwve,0.043453935915672294
2,lspf,0.03783751688974716
3,fsr,0.037218271254565206
4,o3_17-28km,0.03696840854710516
5,flsr,0.036458420439177075
6,str,0.03224402391297147
7,tclw,0.029868166637219057
8,src,0.02948239431474888
9,tco3,0.02679549684451685
10,totalx,0.023021048358961002
11,t_17-28km,0.02101243150857344
12,ttrc,0.020818883467482917
13,vilwn,0.019417875844047965
14,vilwe,0.018980964723986162
15,ilspf,0.018671913615221192
16,lcc,0.01594477419680081
17,mcc,0.01566277725020669
18,t2m,0.015481937785353174
19,q_17-28km,0.011210870121099299
20,vima,0.011044170939947726
21,tp,0.010912699515594947
22,tcw,0.010554133892544415
23,tcwv,0.010017442632918113
24,msl,0.008803187960893548
25,tall_28-37km,0.008568754449072244
26,z_28-37km,0.00855414191767156
27,alnip,0.00846601173157662
28,q_37-50km,0.00792347170900605
29,r_17-28km,0.007485313138853733
30,q_0-8km,0.00743157538212786
31,sp,0.00719240313844012
32,q_8-17km,0.007114818257259895
33,aluvp,0.007083012525043064
34,alnid,0.007033540633142516
35,vimd,0.0066273347334213995
