Feature,MIC
vipile,1.0
tcw,0.9951110240914952
vitoe,0.9943961734552375
tcwv,0.9864035115108951
deg0l,0.8928330162545868
lcc,0.8792166586169118
z_8-17km,0.8682966681568572
tall_8-17km,0.8682966681568572
vipie,0.8648546586698416
vithe,0.8643168676464701
q_0-8km,0.8575415823766176
t_0-8km,0.8345073022396571
tclw,0.8324701782852989
vit,0.8313038131091965
tall_0-8km,0.827392958831436
z_0-8km,0.827392958831436
crwc_0-8km,0.8181859173523274
tco3,0.8151349988703505
lspf,0.809114595494412
ilspf,0.7933283895299776
lsp,0.7899941529817398
viozn,0.7877415238220485
tp,0.7719890158768506
u_8-17km,0.7647707941270577
tcrw,0.7610561908578903
v_17-28km,0.7521492355396112
lsrr,0.7433346865948564
totalx,0.7296329098718817
flsr,0.7290270273541406
mcc,0.7283533621043655
fsr,0.7223372796131746
str,0.6973437751974747
src,0.6972101563206213
vioze,0.6959857059260237
ptype,0.6879371166457166
